ULURP_NUM,the_geom,ENUMBER,CEQR_NUM,BOROCODE,TAXBLOCK,TAXLOT,BBL
940309 ZMM,POINT (-74.01047528073283 40.715570658893675),E-61,95DCP010M,1,137,10,1001370010
940309 ZMM,POINT (-74.00961446056124 40.7160597299677),E-60,95DCP010M,1,140,5,1001400005
940309 ZMM,POINT (-74.00961446056124 40.7160597299677),E-61,95DCP010M,1,140,5,1001400005
940309 ZMM,POINT (-74.00777659940526 40.71801853674254),E-61,95DCP010M,1,179,1,1001790001
396-04-BZ,POINT (-74.00743756827457 40.71815688917955),R-77,05BSA076M,1,179,32,1001790032
940309 ZMM,POINT (-74.00986737732897 40.71984929857226),E-61,95DCP010M,1,187,16,1001870016
100369zmm,POINT (-74.00619773772334 40.7201177435025),E-257,10DCP039M,1,190,39,1001900039
100369zmm,POINT (-74.00601709369512 40.72006675271761),E-257,10DCP039M,1,190,41,1001900041
100369zmm,POINT (-74.00599193550917 40.719959687025884),E-257,10DCP039M,1,190,43,1001900043
980480 ZMM,POINT (-74.0081863477549 40.720299502426776),E-87,97DCP068M,1,190,7506,1001907506
2017-298-BZ,POINT (-74.00542028897911 40.71931195707049),E-544,18BSA058M,1,191,8,1001910008
100369zmm,POINT (-74.00323762366476 40.719185197829766),E-257,10DCP039M,1,194,5,1001940005
100369zmm,POINT (-74.0035134867888 40.71931167715085),E-257,10DCP039M,1,194,9,1001940009
100369zmm,POINT (-74.0036688009555 40.71938288552182),E-257,10DCP039M,1,194,11,1001940011
100369zmm,POINT (-74.0038244137197 40.71945423145067),E-257,10DCP039M,1,194,13,1001940013
100369zmm,POINT (-74.00392512566762 40.719458908911086),E-257,10DCP039M,1,194,14,1001940014
100369zmm,POINT (-74.00401182760116 40.7195192319734),E-257,10DCP039M,1,194,15,1001940015
100369zmm,POINT (-74.00411066485034 40.719503978353785),E-257,10DCP039M,1,194,16,1001940016
100369zmm,POINT (-74.0037753731319 40.7197731278919),E-257,10DCP039M,1,194,20,1001940020
